ENGLISH ; RUSSIAN
cane ; трость
crutches ; костыли
med cost ; медицинские расходы
a settlement ; рассчёт
worker compensation ; компенсация работника за травму
a hip ; бедро
thighs ; бедра
pain radiates to ; боль отдает в
disability ; инвалидность
approved ; одобрен
nurse practitioner ; практикующая медсестра
a house call ; вызов мед работника на дому
doctor's note ; справка от врача
a body shop ; мастерская по ремонту автомобилей
an auto repair shop ; автомобильная мастерская
deadline ; крайний срок
Grace period ; льготный период
gross montly income ; ежемесячный доход до вычета налогов
a tax declaration ; налоговая декларация
fixed interest rate ; фиксированная процентная ставка
favorable ; благоприятные (условия)
equity ; собственный капитал
down payment ; первоначальный платёж
a default ; неисполнение обязательст
a credit report ; кридитный отчёт
a credit check ; кридитная проверка
a balance transfer ; передов остатка или задолжности
a flat fee ; фиксированная плата
an underwriter ; страховой агент
a salvage value ; ликцидационная стоимость
an adjuster ; страховаой агент занимающийся рассмотрением страховых исков
an appraiser ; оценщик ущерба
upper respiratory tract infection ; инфекция верхних дыхательных путей
a tubal ligation ; перевязка маточных труб
to have one's tubes tied ; перевязать маточные трубы
tonsillectomy ; удаление гланд, миндалин
fallopian tubes ; маточные трубы
vasectomy ; вазэктомия
amniotic sack ; амниотическая оболочка
a hip joint ; бедренный сустав
a femur fracture ; перелом бедренной кости
a femur neck fracture ; перелом шейки бедренной кости
urethra ; мочеиспускательный канал
ureters ; мочеточники
uterus ; матка
to stitch a wound ; зашить рану
stictches ; швы
the bones healed incorrectly ; кости зажили неправильно
development stages ; этапы развития
development anomalies ; пороки развития
premenstrual syndrome ; предменструальный синдром
IUD (intrauterine device) ; внутриматочная спираль
a gown ; халат
a therapist ; психолог
терапевт ; врач
public health ; общественное здоровье
proper names ; имена собственные
cognitive impairments ; когнитивные нарушения
a scheduler ; планировщик
alternating ; чередующийся
mamary glands ; молочные железы
a complete blood count ; полный анализ крови
slow and steady process ; медленный и постепенный процесс
to monitor ; отслеживать
alchogol pads ; спиртные подушечки
barium liquid (for esophagus xray) ; бариевая жидкость (для рентгена пищевода)
enema ; клизма
a suction ; аппарат для отсасывания
spleen ; селезёнка
an affected area ; поражённая область
to apply topically ; применять местно
to charge (money) ; взимать плату (денег)
a breakdown of tissue ; разрушение ткани
HIV ; ВИЧ
mid wife ; акушерка
разрыв ; rapture
надрез ; incision
отёк ; swelling
print your name ; напишите имя печатными буквами
thicker blood ; более густая кровь
try vaginally (labor and delivery) ; попробовать роды естественным путем
a saving account ; сберегательный счёт
savings ; сбережения
inflamation of the bladder ; воспаление мочевого пузыря
a period (women) ; менструальный цикл
well child visit ; посещение педиатра для профилактики
a hazzard ; опасность
to restore ; восстанавливать
remotedly ; удалённо
to reset the meter ; перезапуск счётчика
fluctuations ; колебания
a heel ; пятка
an arising conflict ; возникающий конфликт
a suspension (from school) ; отстранение от занятий в школе
a cervical exam ; осмотр шейки матки
dilatation ; дилатация
dialation ; расширение
PA ; ассистент врача
a resident (med context) ; ординатор (медицинский)
an attendant (med context) ; санитар
lower back ; поясница
bum ; попа
an experience ; опыт
to expose oneself ; подвергаться
DNI ; не интубировать
DNR ; не реанимировать
A day care provider ; работник детского сада
miscarriage ; выкидыш
a colon (organ) ; толстая кишка
a balance (med) ; нарушение равновесия
PET SCAN ; позитронно-эмиссионная томография
CAT SCAN ; компьютерная осевая томография
A BLANKET ; одеяло
IV LINE ; капельница
RICH FOOD ; богатая пища (жирами, калориями)
low salt diet ; низкосолевая диета
a sex (intercourse) ; половой акт
tabacco products ; табачные изделия
a guardian of a child ; опекун ребёнка
to dismiss a case ; закрыть дело
it seems like ; Похоже что / Судя по всему
a damage ; ущерб / травма / повреждение
he is failing (the subject) ; он не успевает по предметам (школа)
enviromental science teacher ; учитель экологии
тест на хеликобактер пилори ; H. pylori
DHS ; министерство внутренней безопасности США
HRA ; Департмент социального обслуживания
heritage ; наследие
fatal/lethal outcome ; летальный исход
tremor ; дрожь / тремор
a state exam ; государственный экзамен
assigned ; назначенный / порученный
writing skills ; навыки письма
reading comprehension ; понимание прочитанного
to have a shaky ground in terms of math ; иметь слабую базу по математике
ELA teacher ; учитель английского языка
speech therapy ; речевая терапия / занятия с логопедом
они отстают от сверсников ; they are falling behind their peers
сверсники ; peers
primary language ; Основной язык
disposition ; склонность
aching pain ; тупая боль
to tolerate ; выносить (терпеть) боль
pending pyment ; платёж в ожидание
to receive a draft on 11th ;  получить счёт на оплату 11го числа
a credit ; зачисление
blood thinning medication ; лекарство для разжижения крови
credit score ; кридитный рейтинг
make a partial payment ; сделать частичный платёж
statement ; выписка
payment plan arrangement ; договорённость о рассрочке платежа
tourist visa ; тур виза
recertification ; повторная сертификация
social services ; социальные услуги
customer service ; услуга поддержки клиентов
задняя фара ; tail lights
insignificant / negligible ; незначительный
degree of desease ; степень заболевания
oxygen equipment ; кислородное оборудование
contributes to the shortness of breath ; способствует отдышке
severe symptoms ; тяжелые симптомы
to endure ; выдерживать / терпеть
blood thinner ; расжижитель крови
a debt ; задолженность
DHS ; Министерство внутренней безопасности США
ACS (administration of children services) ; Администрация по делам детей и семей
ACF (administration of children and families) ; Администрация по делам детей и семей
stoma ; стома
a colostomy ; колостома (вывод толстой кишки)
an ileostomy ; илеостома (вывод тонкой кишки)
a urostomy ; уростома (вывод мочеточников)
a stoma bag ; мешок для стомы, калоприёмник
a scar ; шрам
a rectum ; прямая кишка
a colon ; толстая кишка
small intestine ; тонкая кишка
a bowel ; кишка
tumor ; опухоль
mixes up/mistook ; спутал
to have a confusion ; иметь спутанность сознания
to be confused ; быть в замешательстве
I was covering for him ;  я дежурил за него
written report ; письменный отчёт
a-fib ; мерцательная аритмия
attending doctor ; руководящий врач
suppositories (rectum) ; свечи
written consent ; письменное согласие
a report ; отчёт
aftercare ; послеоперационный/последующий уход
in the unit ; в отделении
to guide by ; направлять по
to guide by the hand ; направлять за руку
extracellular ; внеклеточный
intracellular ; внутриклеточный
to walk through ; проводить через/демонстрировать
to walk through the process ; показать процесс
appointment desk ; стойка регистрации
a desk, a counter ; стойка
an adjustment ; корректировка
to adjust ; корректировать
to route ; перенаправлять
to route to a specialist ; направлять к специалисту
to navigate ; ориентироваться
to navigate the website ; ориентироваться на сайте
lately ; в последнее время
family health center ; семейный медицинский центр
while standing ; (в положении) стоя
a rotator cuff ; вращающая манжета плеча
deterministic ; определённый
take an edge off (the pain) ; облегчить/снять боль
precautions ; меры предосторожности
bed rest ; постельный режим
to be on bed rest ; быть на постельном режиме
shoulder cuff injury ; травма вращающей манжеты плеча
to be in a sling ; быть в повязке
a sling ; повязка
member services ; служба поддержки клиентов
to be in a cast ; быть в гипсе
a cast ; гипс
to be in a boot ; быть в ортопедической обуви
a boot ; ортопедическая обувь
a fracture ; перелом
a strain ; растяжение
hospital stay ; пребывание в больнице
advisor ; консультант
muscles have tightened ; мышцы затянулись
to have a tight muscle ; иметь напряжённую мышцу
to face that wall ; лицом к стене
necklase ; ожерелье
hold steady as possible ; держаться как можно устойчивее
to put it back on ; снова надеть это
grooming ; уход за собой/приведение себя в порядок
mobile crisis team ; мобильная кризисная бригада
immediate response team ; бригада немедленного реагирования
tension ; напряжение
please lay down ; пожалуйста, ложитесь
lean up here ; опереться здесь
to be in a prone position ; быть в положении лёжа на животе
to be in a supine position ; быть в положении лёжа на спине
to be in a lateral position ; быть в положении лёжа на боку
to be in a sitting position ; быть в положении сидя
to be in a standing position ; быть в положении стоя
to be in a kneeling position ; быть в положении на коленях
extension number ; добавочный номер
to be on hold ; быть в режиме ожидания
to kick out ; выгонять
home care services ; служба ухода на дому
a home care provider ; работник службы ухода на дому
a home care agency ; агентство по уходу на дому
a home care worker ; работник службы ухода на дому
a home care nurse ; медсестра службы ухода на дому
a home care aide ; помощник по уходу на дому
a home care assistant ; помощник по уходу на дому
a home health nurse ; медсестра по уходу на дому
caregiver ; лицо осуществляющее уход
home attendant ; домашний помощник
to prevent ; в целях предотвращения (образования)
stomach acid ; желудочный сок
to remove stitches ; снимать швы
gladly ; с радостью
compasssion ; сострадание
we are commited ; мы нацелены
indifferent ; безразличный
daugter in law ; невестка
son in law ; зять
eligible for ; имеющий право на
so far so good ; пока всё хорошо
caregiver ; сиделка/лицо, осуществляющее уход
discontinued ; прекращённый
are you behind ; вы отстаете?
are you behind on your payments ; вы отстаете с платежами?
take a break ; сделать перерыв
keep on squueezing ; продолжать сжимать
Следует лучше изучить этот вопрос ; Следует лучше изучить этот вопрос
REI (Reproductive Encocrinology and Infertility) ; Репродуктивная эндокринология и бесплодие
Type and screen ;  определение группы крови и сриннинг антител
hospital billing ; больничный счет
whatsoever ; вовсе, совершенно
CDC ; Центры по контролю и профилактике заболеваний
within normal limits ; в пределах нормы
prenatal services ; пренатальные (предродовые услуги)
in the lower limit of normal ; в нижней границе нормы
pre eclampsia ; преэклампсия
a blood pressure cuff ; манжета для измерения кровяного давления
dispute of the charge ; оспаривание начисления
maintenance (med) ; содержание
maintenance fee ; плата за обслуживание
credit limit increase ; увеличение кредитного лимита
to prevent blood clots ; чтобы предотвратить образование кровяных тромбов
atrial fibrillation ; мерцательная аритмия
A1C test ; тест на гликированный гемоглобин
shadowing (med) ; затемнение
prostate ; предстательная железа
a prostate exam ; осмотр предстательной железы
a prediabetes ; преддиабет
alchogol abuse ; злоупотребление алкоголем
tripped ; споткнулся
to trip ; споткнуться
humorous ; юмористический, шутливый
intrauterine pregnancy ; внутриматочная беременность
ectopic pregnancy ; внематочная беременность
apendicitis ; аппендицит
apendix ; аппендикс
histerectomy ; удаление матки
bone density test ; тест плотности костей
osteoporosis ; остеопороз
osteopenia ; остеопения
a hearing aid ; слуховые аппараты
a buildup ; накопление
stretching ; растяжение
scar tissue ; рубцовая ткань
to be in a wheelchair ; быть в инвалидной коляске
a wheelchair ; инвалидная коляска
billirubin level ; уровень билирубина
a bilirubin test ; тест на билирубин
trigeminal neuralgia ; невралгия тройничного нерва
Mucous membrane ; слизистая оболочка
while you are sitting at rest ; пока вы сидите в покое
too tight ; слишком туго
a headband ; повязка на голову
push yourself ; напрягаться
to be moderately out of breath ; быть в умеренной степени одышки
pharmacist ; фармацевт
counceling ; консультирование
prorated charges ; пропорциональные начисления
plain water ; простая вода
doesnt taste well ; не вкусно
to be dissmissed from school ; быть освобождённым от школы
he will be here momentarily ; он будет здесь в ближайшее время
геморой ; hemorrhoids
will return to an original state ; Вернется в исходное состояние
pending payment ; платёж в ожидании
sleep apnea ; апннеа сна
poor emergence from anesthesia ; плохое пробуждение от анестезии
emergency contact ; контакт для экстренной связи
matternity ward, hospital ; роддом
auto mechanic ; автомеханик
COPD ; ХОБЛ (хроническая обструктивная болезнь лёгких)
authorization request ; запрос на разрешение
to be authorized ; быть одобренным
annaul heatlh checkup ; ежегодный медицинский осмотр
guidelines ; директивы
to be in compliance with ; соответствовать
did not object ; не возражал
UTI (Urinary Tract Infection) ; инфекция мочевыводящих путей
vaginal swabs ; вагинальные мазки
illegible handwriting ; неразборчивый подчерк
hemorrhage ; Кровоизлияние
Throughout the year ; В течение года
Frustrated ; Разочарован
Fine Motor Sckill ; Навыки мелкой моторики
to consider ; рассмотреть, учитывать
internal medicine doctor ; врач-терапевт
marital status ; семейное положение
to hesistate to ask for help ; не решаться попросить о помощи
daily activity ; ежедневная деятельность или занятия
everybody present ; все присутствуют
Lay your legs flat ; выпрямьте ваши ноги
swaddle ; закутывать
to take a peek ; заглянуть, подсмотреть
management office ; оффис управления
maintenance office ; оффис обслуживания
a recess ; углубление
to recover ; восстанавливаться
discharge instructions ; инструкция по выписке
CCH (Center for Community Health) ; Центр общественного здравохранения
eye chart ; таблица для проверки зрения
squinting ; прищюриваться
eyelid ; веко
homeopathic remedies ; гомеопатические средства
clear broth ; бульон состоящий только из жидкости
light broth ; легкий бульон
past surgery history ; Анамнез перенесенных операций
prenatals ; витамины для бедренных
staphylococcus ; стафилокок
i will give you some privacy ; Я предоставлю вам личное пространство
to reposition ; изменить положение
ground (minced) food ; перемолотая пища
unpleasant to swallow ; неприятно глотать
to moisten with saliva ; смачивать слюной
cream of wheat ; манная каша
not compatible ; не совместим
to apply pressure ; приложу немного давления, поднажму
vigilant ; бдительный
occupational therapy ; эрготерапия
retention ; задержка
encapsulated fluid ; осумкованная жидкость
interventional radiology team ; Команда интервенционной радиологии
feeding tube ; Зонд для кормления
a community ; сообщество
as of now ; на данный момент
get the stomach in order ; привести желудок в порядок
a surgery request ; заявка на операцию
as ur earliest convinience ; при первой же возможности
hands are shaking ; руки трясутся
employee, staff member ; сотрудник
service initiation appointment ; приём для начала обслуживания
do you pass gasses ; вы выпускаете газы
a care plan ; план по уходу
a manage plan ; план лечения
disclosure ; разглашение
non-discrimination rights ; права не быть дискриминоранным
it is not characteristic of her ; это ей не свойственно, не в ёё характере
eye clinic ; глазная клиника
fatigue ; утомляемость
to feel down ; чувстовать себя подавленно
hold off ; отложить
vocation ; отпуск
notice ; извещание
anxiety ; тревога
restratining order ; запретительный судебный приказ
child protective specialist ; специалист по защите детей
child protective services ; служба защиты детей
ACS ; администрация по делам детей
elevated BP ; повышенное артериальное давление
manufacturer ; производитель
water pills, duretics ; мочегонное средство
vascular surgery team ; отделение сосудистой хирургии
makes sense ; логично
to wrap up the visit ; подвести итог визита
as it was before ; как и было до этого
operated leg ; прооперированная нога
apple sauce ; яблочное пюре
to upset the stomach ; растроить желудок
the readings of the monitor ; показатели монитора
home health aid ; домашний помощник по уходу
todo list ; список дел
to wish smbd strong health ; желать сильного зводорья
an established routine ; установленный режим
service data ; дата обслуживания
better than before ; лучше чем было (ранее)
slippers ; тапочки
to feel steady ; чувствовать уверенно (в походке)
ID bracelet ; идентификационный браслет
nurse care manager ; 
medical supplies ; мед принадлежности
paystub ; платёжная ведомость
itching ; зуд
readings ; показатели
alchogol swabs ; спиртовые салфеткимедсестра координатор по уходу
terms of service ; условия обслуживания
diabetic education appointment ; приём по обучению диабете
currency exhange ; пункт обмена валюты
heavy bleeding ; обильная кровь
burning the lining of the uterus ; прижигание слизистой оболочки матки
hormone replacement therapy ; гормонально заместительная терапия
vaginal test swab ; вагинальный мазок
claims department ; отдел претензий (исков)
service department ; отдел обслуживания
to crumble ; крошить
speech language pathologist ; специалист по потологии речи
narrow throat passage ; маленький проход в горле
excess fluid ; избыток жидкости
stomach acid ; желудочный сок
medical clearance ; разрешение от врача
from the waist down ; ниже пояса
cover with the sheet ; накройтесь простыней
a growth of the fetus ; рост плода
on temple ; на виске
muscle aches ; мышечные боли
to drift you into the sleep ; это погрузит вас в сон
child care appointment ; приём по уходу за ребёнком
to wave signature ; отказаться от подписи
shipping carrier ; транспортная компания
tracking info ; данные для отслеживания
UPS united parcel service ; объединенная служба посылок
pharmacy regulations ; фармацевтическое законодательство (правила)
community health plan ; план общественного здравохранения
human trafficking victim ; жертва торговли людьми
pelvic exam ; гинекологический осмотр
How far along are you ; На каком вы сроке(pregnancy context)
Genetic chromosomal screening ; Генетический хромосомный скрининг плода (ребенка)
to scoop down ; наклониться, пригнуться, сутулиться
to get in the way ; мешать
power of attorney ; доверенность
healthcare proxy ; письменная мед доверенность, лицо с доверенностью представлять интересы больного
loan company ; кредитнвя компания
loan account number ; номер кредитного счета
the roof my one's mouth is freezing ; нёба мерзнет
hot flashes ; приливы жара
overgrowth of the uterus ;  черезмерное разрастание матки
To document in the case file ; зафиксировать в деле
To place on record ; зафиксировать в деле
зафиксировать в дело ; зафиксировать в деле
emergency contacts ; Контактные лица на случай чрезвычайной ситуации
UPMC (University of Pittsburgh Medical Center) ; УПМЦ (Университетский медицинский центр Питтсбурга)
enzoma ; лишай
we are all set ; на этом всё
cervical spine ; шейный отдел позвоночника
scar cream ; крем для шрамов
spotting ; кровянистые выделения
termination letter ; письмо о рассторжение договора
termination of vouncher ; прекращение действия ваучера
Boston Housing authority ; жилищное управление бостона
infection doctor ; инфекционист
to get flustered ; смущаться, расстеряться
is misspeled ; допущена ошибка, написана с ошибкой
speech ; речь
nostril ; ноздря
to get repositioned ; сменить положение тела
to scoop legs to the side of the bed ; перенести ноги к краю кровати
how bad is your pain right now ; насколько сильно у вас сейчас болит?
to shiver ; дрожать, содрагаться
a bone rattling pain ; пронизывающая до костей боль
bed pan ; судно, утка (писуар)
to rattle ; греметь
orthopedic surgery team ; команда ортопедической хирургии
an underpinning ; основа, фундамент
is chipping away ; тихо тихо разрушается
As long as you are flexible with appointments, it will work ; Если вы сможете подстроиться под график приёмов, всё получится
clearance ; допуск, разрешение
2 slides of stairs ; 2 лестничных пролёта
I dont think so but i want to be complete ; я так не думаю, но хочу довести дело до конца
Resection of lung ; удаление части легкого
lung lobe ; лёгочная доля
remarkable assistance ; замечательная помощь
for future reference ; для справки в дальнейшем
be mindful of this ; будьте учтивыми и помните это
left unnatented ; оставлен без внимания
to consolidate the debts ; объединить задолженности
cosigner ; соподписчит
vehicle as collateral ; маишну под залог
pending approval ; на рассмотрение
secured loan ; кредит под залог
loan ; кредит
to sign a contract ; подписать контракт
We can't move forward with application ; дальнешее рассмотрение заявки невозможно
orthopedic surgery ; ортопедическая хирургия
exam room ; кабинет осмотра
exhausted ; истоощен, уставший
to flex a tendon ; сгибать (задкйствовать) сухожилие
thigh muscles ; Мышца бедра
stretch the legs ; расстянуть ноги
cruthces ; костыли
a doppler ; 
проходисомть вен    

bulky ; грамодзкий
a splint ; шина
to put a splint on ; наложить шину
vaginal speculum ; влагалищное зеркало
the cord ; шнур
to tigthen or loosen ; затянуть или ослабить
risks and benefits ; выгоды и риски
can we start by getting your ph-n and name ; давайте начнём с вашего ФИ и номера телефона
abnormal readings ; значения с отклонением (аномальные)
sleeves ; рукава
concern team ; группа по работе с жалобами
closet ; шкаф
ambulette ; Специальный Мед автомобиль
assisted living facility ; дом престарелых
venus reflux or venus insufficiency ;  венозный рефлюксвенозная недостаточность
HIPPA ; закон об ответсвенности и переносе данных о страховании здоровья граждан
D and C Dialation and Curettage ; Дилатация и выскабливание
D and A Dialation and Aspiration ; Дилатация и аспирация
D and X Dialation and Extraction ; Дилатация и извлечение
Extraction ; извлечение
To narrow down ; сузить
primary care visit ; визит к лечащему врачу
annual renewal ; ежегодное продление
to have a disposition for ; предрасположенность, склонность к
a heel of the leg ;  пятка ноги
an ankle of the leg ; лодышка, голонестопный сустав
sheets of the bed ; простыня, постельное бельё
cash assistance ; денежное пособие
pre k ;  дошкольное образование
stomach upset ; растройство желудка
protonix ; протониз, пантопразо
UPS, united parcel service ; Объединённая почтовая служба
performance ; производительность
grab bars ; поручни в душе
im setting ur expectation ; я формирую ваши ожидания
adrenal glands ; надпочечники
pancreas ; поджелудочная железа
an attack ; приступ
aching pain ; ноющая боль
thick, dense ; густой, плотный
imaging table ; Диагностический стол
with minimal assistance ; При минимальном содействии
disc protrusion ; Межпозвоночная протрузия
to issue a bill ; выставить счёт
to resubmit a bill ; повторно выставить счёт
i will touch base with you ; я свяжусь в вами
lets touch base next week ; давайте свяжемся на след неделе
sensory deficit ; Дефицит чувствительности
preparid label ; предоплаченная этикетка
ADHD ; СДВГ (Синдром дефицита внимания и гиперактивности)
spine team ; Команда специалистов по лечению позвоночника
prescription care specialist ; Специалист по работе с рецептами
nuclear medicine scan ; Радиоизотопное сканирование
myelogram ; Миелография (procedule) Миелограмма (image)
bone density xray ; Рентген для измерения плотности костной ткани
DEXA scan ; Денситометрия
edema ; отёк
insulated ; изолирован
skin breakdown ; нарушение целостности или разрушение кожи
bileduct ; желчный проток
gallbladder ; желчный пузырь
bladder ; мочевой пузырь
a bypass ; шунтирование
cannula ; канюля
ECT ; электросудорожная терапия (ЭСТ)
ноги проваливаются
unsteady on feet
home helath services
to warm up legs
to get acclimated
нагрузка
rods ; стержни

strenuous activity ; интенсивная физическая нагрузка,напряженная деятельность
what is your understand ; в вашем понимание что это
gut feeling ; предчувствие
spine collapses ; Позвоночник со временем проседает
a curvature ; изгиб, кривизна
blurry image ; размытое изображение
stay still ; не двигайтесь, стойте смирно
hill ; холм
supply with blood ; снабжать кровью
to draw blood ; брать кровь
pins and needle sensation ; ощущение покалывания
in compression ; в сжатом состоянии
powder ; порошок
psycho meds ; психотропные препараты
feel suicidal or homicidal now ; чувствуешь себя сейчас склонным к суициду или убийству?
blood draw ; забор или взятие крови
assistive technology evaluator ; специалист по оцениванию вспомогательных технологий
inflamation ; воспаление
swelling ; отёк
not urgent ; срочный
patient authorization form ; форма согласия пациента
breast center ; мамологический центр
the call will be of medical nature ; звонок будет медицинского характера
colostomy ; Колостома
she is getting agitated ; она начинает нервничать
nephrostomy ; нефростома
needed to drain the fluid from lungs ; нужно было откачать жидкость из легких
pins and needles ; ощущение покалывания
overwhelmed ; перегружен
shift the weight ; смещать вес
get those legs straight ; выпрямите ваши ноги
tighten a muscle ; напрягите мышцу
hair loss ; выпадение волос







stool softener ; смягчитель стула
a pump ; помпа
INR level ; уровень МНО Международного нормализованного отношения
consequence of virus ; последствия вируса
nutritionist ; диетолог
hard to handle so much ; сложно перенести так много
jeopardize ; подвергать опасности
home health ; медицинский уход на дому
to check in here ; оформить прибытие
a template ; шаблон, образец
to be oblivious ; быть не обращающим внимания, не замечающим
complacency ; самоуспокаемость
setbacks ; неудачи,откаты назад
favorable ; Благоприятный
heat pads ; грелки
folic acid ; фолиевая кислота
masses ; образования
too stiff ; Слишком скованный
a day stay ; дневной стационар
do you want to be listed there ; Хотите, чтобы вас внесли в этот список
facility directory ; Справочник пациентов
with asntisptic wash ; С антисептической обработкой
dislocation and loosening ; вывих и расшатывания, ослабления
stiffness ; скованность
muslce skeletal function ; Функция опорно-двигательного аппарата
Osteoarthritis ; Остеоартрит
recovery room ; послеоперационная палата
Endoprosthetics ; эндопротезирование (замена сустава)
primary Osteoarthritis ; Первичный Остеоартрит
unlikely ; маловероятно
cauterization ; прижигание
спину хватает ; a back seized up

advanced will directive ; Предварительное медицинское распоряжение
power of attorney ; доверенность
healthcare proxy ; письменная мед доверенность, лицо с доверенностью представлять интересы больного
living will ; Прижизненное завещание

an advanced disease ; запущенная стадия болезни
a trust with a lawyer ; Доверительная собственность, оформленная адвокатом
Will it resolve on its own ; оно само рассосётся?
CBC complete blood count ; общий анализ крови
a pain pump ; насос для введения обезболивающих
we will call you if there is smth concerning ; Мы позвоним вам, если возникнет что-то беспокоящее
children's camp, summer camp ; детский лагерь
to bill insurance ; выставлять счета страховой компании
a baseline ; базовый уровень
to interract ; взаимодействовать
creatimine ; креатимин
Obstacles ; препятствия
things go smoothly ; Всё идет гладко
dignity ; достоинство
gurgles ; урчание
a tender touch ; нежное прикосновение
Standard data and SMS rates may apply. ; Могут применяться стандартные тарифы на передачу данных и СМС
Data and messaging rates may apply according to your service plan ; Может взиматься плата за трафик и сообщения по условиям вашего тарифного плана
uterine fybroid ; миома матки
opacification in the part lung ; Затемнение участка лёгкого
breathing rate ; Частота дыхания
eardrum tube ; Ушной шунт
wheezing ; хрипение
consequences of virus ; последсвия вируса
self limiting ; Проходящий самостоятельно, Самоограничивающийся
rumbling sounds ; Грохот
move feet ; пошевелите ступнями 
unintenantional weight loss ; непреднамеренная потеря веса
torso ; туловище
im shaking all over ; меня трясёт всю
to flush iv ; промывать внутренный катетер
